W,245
i,1554
d,-90
x,-109
X,-43
I,51
i,-30
u,106
K,3
W,-27
h,23
n,-107
q,102
d,-98
v,-99
O,-2
F,22
A,-16
A,86
z,-36
s,-115
E,79
N,-113
L,-13
O,3
t,83
m,-29
b,-111
A,41
i,69
X,0
S,92
z,95
R,96
B,-27
q,-73
f,16
c,84
m,117
I,-110
s,84
F,-88
W,60
W,-71
O,101
P,48
d,14
n,116
O,97
b,-22
U,7
 ,509
z,-37
f,61
H,-9
H,85
G,62
w,41
m,-224
Q,-37
E,-61
i,-46
T,-85
f,-84
a,90
L,23
o,-28
E,5
H,-60
R,78
i,-43
d,-25
a,67
e,-100
k,55
X,32
j,93
V,0
u,-106
O,-94
O,80
k,81
S,-5
j,-100
m,-21
s,-59
P,16
G,55
T,-26
t,501
a,-93
V,-47
E,10
P,31
S,-950
P,-90
v,101
v,-111
K,107
A,35
D,-117
W,46
U,83
I,40
g,92
D,71
e,-28
u,-89
e,-49
k,-5
P,-75
F,-101
C,17
o,-1060
K,118
l,109
o,-26
p,80
Q,82
s,97
R,15
l,46
U,57
D,12
d,15
C,-104
v,9
G,110
a,-36
T,-114
g,6
i,54
o,-11
O,-1
j,-12
g,-1027
i,-107
q,-66
P,-28
j,-59
t,-109
r,4
N,-29
A,-80
C,-24
C,-37
G,-107
i,-38
Y,7
P,-95
e,64
r,-30
G,45
L,56
c,-49
D,-21
g,-12
h,3
U,-83
H,17
Z,-81
W,-49
y,-107
c,-97
z,106
F,-28
w,-67
N,116
d,-85
h,96
Z,55
g,-119
q,-54
K,62
F,-5
i,48
z,-118
L,-6
r,115
S,-120
f,-59
G,34
z,-47
L,120
p,-105
Q,101
f,-37
p,61
W,-76
P,-101
r,-521
k,120
p,-52
V,-3
X,65
g,-63
Z,11
I,78
D,-44
b,-44
G,54
m,58
N,114
l,14
W,-50
L,70
u,38
z,85
g,4
i,-20
i,53
m,-60
W,-33
n,441
y,447
r,109
C,-110
X,11
x,-113
Z,24
b,34
D,86
w,-71
m,-5
A,58
u,-73
m,89
c,-93
T,-70
q,-54
a,26
Y,50
a,-438
i,75
N,-80
T,23
G,-80
a,-91
U,95
L,-28
J,-82
o,69
Y,8
H,81
w,-99
w,-61
d,-76
V,91
L,22
h,-1421
t,-821
a,-110
N,68
P,-107
L,-45
f,77
i,-75
W,94
y,-96
b,-91
U,-90
l,1
F,-32
n,89
y,-67
d,54
P,-43
b,24
l,500
c,93
a,-10
Y,101
P,84
M,2
a,-1188
P,58
q,-46
M,38
k,-93
i,84
S,-13
Q,76
h,-74
I,89
C,51
G,97
J,26
k,-41
k,-57
P,34
w,-91
Z,-98
p,73
},0
o,-53
e,13
X,2
v,109
R,-1366
s,-470
o,55
H,-117
T,428
A,-4
C,4
b,96
Z,-21
B,2
F,-84
p,53
A,17
Y,114
q,-14
X,-61
C,110
b,-9
k,-99
i,-88
w,-63
U,101
r,-59
f,22
k,-58
s,-792
