k,27
V,-30
Y,70
G,-42
U,60
s,14
F,5
b,-24
c,94
f,62
e,-62
y,-17
k,88
V,-113
t,-14
W,80
X,-52
S,5
y,30
L,-56
F,-80
a,-10
Z,59
K,106
O,116
g,-76
Y,2
q,98
g,-21
t,-9
B,38
k,-20
f,-27
c,-73
w,77
Z,83
W,106
p,-63
M,24
x,-91
!,623
n,89
Q,98
J,84
K,92
s,72
O,111
w,-33
Q,-61
G,94
f,27
e,-118
g,-45
P,-42
O,89
n,-110
s,77
L,52
W,83
Q,50
h,-25
W,-82
N,33
w,52
N,-83
F,-71
Y,-54
a,106
g,-57
y,83
r,-42
J,82
M,99
G,-20
f,102
r,-52
k,40
J,102
L,81
u,49
Y,69
f,56
Z,-2
y,7
p,80
m,103
e,38
Y,119
O,-105
M,30
Q,-43
e,-99
O,-59
Y,-42
y,-8
V,-33
o,43
l,-50
f,1
y,26
d,-17
V,57
g,-45
l,-30
E,-66
J,74
b,87
Y,-34
Y,59
I,-5
Q,90
o,56
S,-1
M,38
v,-61
a,2
b,48
N,26
S,46
W,-113
M,-13
E,27
M,-67
Q,-86
q,109
o,600
j,-41
u,-110
O,-103
F,-48
p,-60
p,-96
Y,76
n,25
C,67
J,-19
K,-2
U,38
u,-113
j,62
N,-16
B,63
L,-34
z,81
X,31
v,-57
P,-119
S,37
u,-115
L,82
q,34
J,100
N,-87
l,584
K,12
M,-99
i,-45
r,105
M,42
O,25
W,-64
J,-120
m,-103
o,-19
H,81
J,-116
k,76
a,-61
h,115
j,-103
L,19
3,438
e,330
e,-113
P,-119
B,-77
V,92
m,8
v,-75
X,63
r,-17
U,-102
t,7
E,76
J,-31
e,-158
B,-54
E,-74
v,73
C,106
u,116
N,42
q,-117
m,25
V,105
v,-16
N,-18
t,114
C,-57
n,70
s,106
x,9
W,-113
Z,81
B,64
f,18
v,72
F,105
p,81
Z,-30
P,93
d,21
S,65
q,-87
V,-92
c,41
N,52
w,63
h,3
W,9
h,-6
J,-2
P,-7
h,-105
W,18
f,15
X,-39
S,37
H,-32
X,54
S,-94
q,118
v,-12
b,-120
:,156
e,13
F,84
y,59
U,-58
I,-71
U,79
B,86
y,-82
P,-57
K,-116
z,14
i,-89
l,-793
N,98
t,42
M,92
F,4
y,53
c,-31
I,-98
E,120
u,116
F,-108
H,51
S,-80
c,98
O,-75
U,79
B,1
H,-109
N,-74
a,-17
w,59
C,-57
K,-57
u,-95
N,-116
G,-8
G,9
N,72
C,31
c,23
H,-34
r,28
g,-14
p,17
j,-52
C,5
z,-100
Q,-14
K,31
N,-16
g,-89
I,-114
p,-104
q,-47
O,87
M,-38
a,56
e,29
u,-53
c,77
f,345
c,19
n,-27
o,95
i,94
g,98
f,-1376
j,97
y,17
H,-17
u,-91
d,-48
G,55
Q,-65
v,-17
d,-94
N,69
p,32
G,-7
H,-80
d,9
f,17
N,-120
B,-1006
u,32
p,108
s,101
i,-118
v,-74
B,67
b,-93
t,-64
y,-88
Y,8
l,34
h,-1424
s,-94
u,-44
Q,-45
E,6
r,53
L,-24
u,-54
z,-28
E,-57
K,70
c,41
y,-73
O,69
f,-110
l,4
t,-36
S,-91
m,-96
j,-18
o,13
i,64
l,-1566
p,-71
u,-13
X,-74
K,-53
E,-17
x,-114
V,-58
w,44
p,73
b,2
a,-93
O,-28
S,87
z,94
O,-28
U,76
i,91
j,33
v,-82
Y,-51
w,8
j,44
o,14
Y,36
l,-242
a,17
d,20
s,84
C,42
E,-49
p,51
S,106
b,76
V,-58
a,4
k,3
I,-69
s,68
Z,47
E,-101
z,81
I,-8
t,105
Q,-64
c,77
_,-155
w,-1
y,29
I,106
h,-114
u,30
J,99
o,112
b,98
b,-12
l,-1
c,50
K,44
F,48
K,-54
q,50
Q,-79
M,-37
x,64
Q,82
o,-431
I,-95
H,55
o,118
v,88
U,111
y,-79
V,49
X,120
B,76
e,-771
j,-120
m,-43
j,53
r,101
p,-47
u,-1486
F,14
v,-119
B,98
Q,-21
U,-62
S,-18
v,80
b,36
Y,16
x,-95
h,1661
t,-106
l,-158
d,54
F,84
J,-65
a,-88
E,-8
B,79
m,4
x,105
P,61
E,0
W,65
K,-53
E,-3
e,-117
c,-39
j,32
s,-69
v,22
l,67
F,-74
C,-25
x,9
E,18
Y,-5
z,-106
j,92
C,-71
a,-111
U,-27
S,-95
G,117
s,23
I,22
f,58
h,-58
s,-75
i,74
L,66
h,38
s,-78
y,86
a,-726
#,-618
X,55
B,-57
P,-25
n,-76
F,110
m,48
k,-118
q,80
o,15
o,-57
H,86
K,100
e,-67
S,-92
S,81
m,-89
o,-80
Q,44
J,-29
w,-5
k,35
g,87
p,-59
m,-120
I,-73
S,74
c,79
{,1443
b,21
t,1306
I,-41
J,-58
K,95
a,101
u,1476
b,37
P,-68
j,-110
b,-69
b,-22
B,86
P,14
f,-89
y,-20
v,13
C,-71
k,-116
j,-21
e,1493
s,-95
L,-26
U,-35
Q,23
Q,44
i,120
E,63
r,-70
b,-26
U,-107
_,1270
a,-3
B,99
c,-109
a,-76
Y,-98
e,-60
j,-75
_,24
H,-90
d,97
n,-65
m,35
h,74
M,-66
j,63
E,13
g,1185
r,-32
r,102
P,24
K,-68
i,41
P,-55
u,101
Q,75
k,19
I,-115
u,102
m,-91
j,-28
w,-21
W,-73
j,-28
B,-47
a,61
z,-61
c,-76
e,1619
v,-86
K,-87
Q,62
f,-114
F,52
i,-32
f,36
b,34
G,73
a,-64
B,6
o,-42
L,-106
N,-28
S,-77
E,23
W,-120
S,81
F,57
f,-46
y,12
U,-9
L,-85
c,106
m,-37
m,79
l,-53
t,107
k,-91
r,68
M,94
x,-112
M,-108
F,85
y,32
t,-71
w,-40
O,14
i,45
P,98
c,-54
e,87
w,82
Y,-74
y,-101
q,-118
i,68
z,77
U,41
N,-76
x,-36
P,104
I,-62
Z,-48
q,88
o,-16
i,105
H,111
c,3
z,115
L,69
I,11
S,13
j,-22
d,-67
Z,-4
M,82
x,19
j,99
N,-18
L,51
B,-115
e,-59
w,-112
M,67
m,-56
d,-25
P,77
O,2
Y,1211
q,-108
u,107
C,-31
c,-102
s,-72
u,-65
B,-93
y,93
v,339
I,-111
v,-19
s,57
K,28
s,50
e,-26
e,42
d,85
q,-83
G,15
z,1
E,-78
i,-103
H,46
Z,-21
H,86
Z,-106
v,23
l,19
O,50
j,53
h,0
t,-50
z,15
B,46
y,-87
O,113
w,-73
V,-84
b,20
U,56
J,84
H,3
Z,-33
Y,52
j,-114
j,-73
o,89
Y,-87
V,-113
M,92
l,-83
e,-76
o,-99
O,-9
U,-1
X,-26
K,-72
z,-84
O,97
z,-51
I,68
W,-79
I,59
l,-83
E,52
m,11
f,67
u,-64
J,58
e,1064
g,119
Z,47
w,-73
a,-86
C,-35
i,100
d,-31
x,-27
H,47
s,338
f,-108
P,-44
u,11
o,-69
l,-82
s,1018
p,-42
L,72
X,-104
E,541
N,80
l,-45
M,-60
M,96
o,53
M,14
a,-50
a,6
z,-19
C,-41
X,117
Y,104
j,-68
H,-9
d,89
C,-57
v,108
p,-47
Z,45
v,-61
Z,-120
c,43
U,67
M,-104
s,113
H,-27
E,116
Q,11
H,-21
v,63
e,586
X,-22
P,58
b,48
t,-509
u,-70
U,34
i,116
g,81
P,-117
Z,74
v,12
Y,-59
V,-88
E,33
a,19
f,-96
h,59
F,94
v,-13
y,-212
b,-92
a,-11
M,100
O,19
I,74
H,-56
k,21
Z,-72
V,-48
k,-103
G,-35
d,101
z,-91
s,113
X,-61
u,1109
r,63
C,-41
s,33
f,3
J,89
W,-49
t,51
Q,-107
L,95
o,26
J,1
W,-6
e,-50
W,-14
M,-78
H,18
G,-13
j,-104
z,7
Y,-101
o,-1
O,109
v,0
o,-5
K,46
C,37
B,99
U,46
M,62
U,-58
a,92
r,61
I,-93
u,30
E,15
H,-12
o,-58
K,-66
Z,25
n,28
G,78
q,53
j,-104
l,-93
Q,64
O,93
i,92
c,-59
E,-22
j,46
B,-63
z,45
C,88
K,-24
M,-63
U,36
n,-87
h,1
a,51
U,103
X,-113
B,62
v,-41
l,-94
g,49
P,80
S,79
r,-387
g,1
p,-49
j,26
x,-24
S,17
L,-117
a,116
Q,115
w,-43
h,-109
j,-115
i,-62
s,34
W,-38
c,109
t,103
V,16
h,83
a,110
X,-87
j,-18
u,-15
X,74
x,49
Z,27
q,-51
E,-49
h,102
n,1
i,-6
e,170
t,-35
y,-119
F,31
Q,-16
q,-103
c,-8
c,16
d,-35
r,62
Z,103
